A4D990,Samsung
006087,KANSAI
DCF719,Cisco
A0950C,China
D4741B,Beijing Xiaomi
001BC0,Juniper
2C15E1,Phicomm
30D16B,Liteon
98AE71,VVDN
A456CC,Technicolor
AC6E1A,SHENZHEN
0080EB,COMPCONTROL
0002EB,Pico
342EB6,HUAWEI
AC9232,HUAWEI
000FB0,Compal
00023F,Compal
68A8E1,Wacom
30D32D,devolo
BCF2AF,devolo
E0AF4F,Deutsche
B869F4,Routerboard.com
283A4D,Cloud
B87C6F,NXP
305DA6,ADVALY
BC30D9,Arcadyan
0479B7,Texas
C0D0FF,China
88DF9E,New
2C7CE4,Wuhan
5803FB,Hangzhou
144802,THE
40313C,XIAOMI
FC4596,COMPAL
A0E534,Stratec
444B5D,GE
001555,DFM
1C7508,COMPAL
001B38,COMPAL
00235A,COMPAL
24D76B,Syntronic
C4FEE2,AMICCOM
780CF0,Cisco
0C8C24,SHENZHEN
8C6D77,HUAWEI
E8C57A,Ufispace
E01283,
A0CF5B,Cisco
002421,MICRO-STAR
0060D1,CASCADE
84C9C6,SHENZHEN
88B66B,easynetworks
24F57E,HWH
8CA048,Beijing Xiaomi
24D3F2,zte
D469A5,Miura
8C8126,ARCOM
D47C44,IEEE
805E4F,FN-LINK
8417EF,Technicolor
3856B5,Peerbridge
7C96D2,Fihonest
C042D0,Juniper
D0C5D8,LATECOERE
7054B4,Vestel
20A60C,Xiaomi
488AD2,MERCURY
DCE838,CK
A8D498,Avira
505967,Intent
000680,Card
3C576C,Samsung
841766,WEIFANG
2C4D79,WEIFANG
000C42,Routerboard.com
0026BD,JTEC
60D02C,Ruckus
D058FC,BSkyB
14579F,HUAWEI
B44326,HUAWEI
78D294,NETGEAR
709FA9,TECNO
0C01DB,Infinix
08C5E1,SAMSUNG
1866C7,Shenzhen
5CB3F6,Human
2C4835,IEEE
482AE3,Wistron
FCA6CD,Fiberhome
44C874,China
74C14F,HUAWEI
B0EB57,HUAWEI
1869DA,China
F85C4D,Nokia
2C584F,ARRIS
F04B3A,Juniper
54BF64,Dell
A85B6C,Robert
C8B1EE,Qorvo
00FCBA,Cisco
00CBB4,SHENZHEN
4CC00A,vivo
9CE82B,vivo
7079B3,Cisco
D818D3,Juniper
149B2F,JiangSu
3835FB,Sagemcom
48DD9D,ITEL
A075EA,BoxLock
F04CD5,Maxlinear
0001AE,Trex
00E009,Stratus
E4EA83,SHENZHEN
74EC42,Fiberhome
D4FC13,Fiberhome
807D3A,Espressif
ECAF97,GIT
A0B045,Halong
E0BAB4,Arrcus
589B0B,Shineway
D8160A,Nippon
10C07C,Blu-ray
40A677,Juniper
E4B021,Samsung
9C7F57,UNIC
B4E01D,CONCEPTION
1C0042,NARI
4434A7,ARRIS
3CE1A1,Universal
F898EF,HUAWEI
58F987,HUAWEI
A8F5AC,HUAWEI
58BAD4,HUAWEI
701D08,99IOT
7412BB,Fiberhome
001027,L-3
BC2643,Elprotronic
04E229,Qingdao
348B75,LAVA
9CE895,New
00583F,PC
903D68,G-Printec
1094BB,Apple
781D4A,zte
94E1AC,Hangzhou
34E894,TP-LINK
F86FC1,Apple
28FF3C,Apple
F099B6,Apple
88E9FE,Apple
38892C,Apple
749EAF,Apple
94BF2D,Apple
68CAE4,Cisco
00BE3B,HUAWEI
7CA177,HUAWEI
242E02,HUAWEI
78B6EC,Scuf
8035C1,Xiaomi
58B3FC,SHENZHEN
2047DA,Xiaomi
2429FE,KYOCERA
7C49EB,XIAOMI
C43306,China
08DFCB,Systrome
A4933F,HUAWEI
28AC9E,Cisco
2CB8ED,SonicWall
68D482,SHENZHEN
984562,Shanghai
E4C483,GUANGDONG
001FBA,Boyoung
A433D7,MitraStar
B0ACD2,zte
200F70,FOXTECH
202D23,Collinear
90834B,BEIJING
18502A,SOARNEX
A8367A,frogblue
6CE4DA,NEC
10E7C6,Hewlett
1831BF,ASUSTek
C8FAE1,ARQ
DCA333,Shenzhen
788C54,Ping
B8AF67,Hewlett
C098DA,China
F00FEC,HUAWEI
AC075F,HUAWEI
C048E6,Samsung
882E5A,storONE
007147,Amazon
00BE75,Cisco
64DB8B,Hangzhou
78257A,LEO
10A4B9,Baidu
501CB0,Cisco
04AC44,Holtek
F4DCA5,DAWON
